PARÁMETRO;AÑO;UNIDAD;PUENTE NICOLAS AVELLANEDA - RIACHUELO km 1;PUENTE  PUEYRREDON. km 3,5;PUENTE BOSCH - RIACHUELO km 4,2;DESCARGA EN PROLONGACION CALLE PERDRIEL km 4,55;PUENTE VICTORINO DE LA PLAZA km 5,15;DESCARGA EN PROLONGACION CALLE LAFAYETTE km 5,25;DESCARGA EN PROLONGACION CALLE ELIA km 7,35;DESC. 2DA. CLOACA MAX. (SIFON AG. AR) km 7,6;ARROYO TEUCO ANTES DESEMB RIACHUELO km 8,05;PUENTE URIBURU - RIACHUELO km 8,6;CONDUCTO EREZCANO ANTES DESEM RIACHUELO km 8,9;DESCARGA ALT. C.PELLEGRINI 1900 km 10;DESCARGA ALT. C. PELLEGRINI 2100 km 10,45;DESCARGA ALT. C. PELLEGRINI 2500 km 10,9;ARROYO CILDANEZ ANTES DESEM RIACHUELO km 11,85;CANAL UNAMUNO km 13,6;DESCARGA A 400 MT DEL PTE. LA NORIA km 14,6;PUENTE DE LA NORIA - RIACHUELO . km 15,05;ARROYO DEL REY ANT. DESEM. MATANZA km 16,55;PUENTE COLORADO - RIO MATANZA . km 18,2;ARROYO STA. CATALINA ANT. DESEM.MAT km 18,3;DESC. ESTAC. DEPURADORA SUD-OESTE. km 18,5;AUTOPISTA RICHIERI - RECT. MATANZA km 22,25;ARROYO DON  MARIO  Y RUTA NRO. 21 km 27,35;ARROYO AGUIRRE EN LA C.O.N.E.A . km 31,15;CALLE CAROLA LORENZINI - R. MATANZA km 34,15;ARROYO MORALES - RUTA NRO. 3 km 34,65;CALLE AGUSTIN MOLINA - RIO MATANZA . km 40,85;CALLE MAXIMO HERRERA - RIO MATANZA km 44,45;ARROYO CHACON DESEM. EN RIO MATANZA km 45,95;ARROYO CANUELAS -RIO MATANZA . km 47,35;RIO MATANZA Y RUTA NRO. 3 km 55,5
pH;1995;u de pH;6.98;7.40;7.34;7.22;7.53;7.03;7.11;7.63;7.21;7.53;.;8.89;7.77;7.36;7.22;7.65;.;7.38;7.30;7.48;8.09;7.57;7.78;.;7.83;8.03;8.06;7.97;7.90;7.55;7.95;7.83
pH;1999;u de pH;7.02;7.49;7.43;7.24;7.46;7.61;7.45;7.58;7.27;7.56;7.98;7.37;7.32;7.21;7.49;7.74;7.78;7.75;7.68;7.90;7.43;7.26;7.98;8.18;8.26;7.95;7.97;7.91;7.78;6.77;7.59;7.92
pH;2004;u de pH;7.11;7.58;7.63;6.85;7.62;7.20;7.00;7.62;9.64;7.66;8.12;8.10;7.50;7.05;7.62;7.48;.;7.90;7.68;7.93;7.71;7.55;8.02;8.18;8.08;7.67;8.32;7.45;7.16;8.07;7.92;8.28
Conductividad;1995;µmho/cm;1397.79;1602.00;1846.23;721.49;1451.87;624.00;862.49;663.58;.;2271.62;.;5046.64;1170.43;1286.00;1086.21;4153.00;.;2625.43;2820.43;2248.19;6997.43;1524.71;2195.62;.;1199.86;1842.50;1205.50;2204.36;2241.64;1380.57;2263.00;1923.36
Conductividad;1999;µmho/cm;1312.45;1637.00;1937.67;651.50;1872.22;522.00;662.50;729.00;1131.50;1739.17;1914.00;3142.25;.;.;1215.38;2628.75;901.50;2031.00;2042.50;2355.58;3905.50;1131.50;1896.21;1272.00;1244.75;1475.50;1024.00;2005.50;2061.13;1610.98;1329.50;1809.63
Conductividad;2004;µmho/cm;1386.84;1696.00;2117.50;521.50;1584.50;449.50;563.00;.;1787.50;1938.00;1397.00;3915.00;897.50;547.50;1211.50;5263.50;.;2523.00;1957.00;2721.00;4649.50;1326.00;1886.00;760.50;991.50;2184.50;1067.00;2837.50;2989.50;2775.50;2761.00;2755.00
Temperatura;1995;º C;21.40;20.14;21.18;18.62;14.63;14.70;20.84;23.66;.;20.86;.;22.52;21.20;20.73;21.18;22.12;.;19.99;20.33;19.71;22.80;22.52;19.81;.;19.82;20.65;20.29;19.46;18.40;18.05;17.80;17.33
Temperatura;1999;º C;20.15;20.38;20.48;22.63;20.06;19.90;21.85;21.20;20.00;20.49;20.85;22.50;.;.;19.85;21.35;18.75;20.17;19.15;20.26;21.95;21.53;19.49;20.25;20.88;17.93;21.21;19.93;19.13;22.33;18.38;19.63
Temperatura;2004;º C;24.33;24.25;24.25;23.50;24.38;23.50;26.50;.;26.65;23.75;26.20;25.00;25.00;23.00;26.10;27.84;.;26.75;22.30;23.85;21.10;24.85;28.05;27.82;27.08;25.53;26.14;27.00;23.40;30.28;23.98;25.98
Oxígeno Disuelto;1995;mg/l;0.33;0.48;0.56;1.70;0.28;8.01;0.10;0.60;.;1.09;.;1.17;2.98;2.10;0.70;1.70;.;1.77;1.12;2.62;6.42;3.77;4.09;.;6.48;5.84;5.80;4.96;4.65;3.17;6.37;4.20
Oxígeno Disuelto;1999;mg/l;0.30;0.44;0.20;1.07;0.17;7.03;0.10;0.50;0.65;0.28;2.03;0.20;.;.;0.46;0.25;2.15;0.28;0.40;1.94;0.30;4.35;2.16;5.80;9.20;5.23;3.00;1.87;2.98;1.45;4.35;5.18
Oxígeno Disuelto;2004;mg/l;0.31;0.15;0.37;0.60;0.14;5.50;0.10;.;2.35;0.21;1.63;0.70;3.20;1.40;0.16;0.24;.;0.11;0.45;0.15;2.21;3.58;0.22;13.48;9.19;0.35;9.49;0.35;0.40;0.63;0.44;6.99
Turbidez;1995;UNT;40.61;89.42;94.96;170.66;34.83;28.32;120.72;69.75;.;39.56;.;229.74;56.36;95.24;49.41;62.31;.;26.02;46.39;22.01;43.50;74.56;31.54;.;28.69;13.56;19.69;18.24;22.74;79.29;33.19;14.76
Turbidez;1999;UNT;42.44;84.68;42.89;170.67;51.22;24.33;100.73;150.50;34.50;79.27;128.00;526.15;.;.;44.11;104.18;26.70;57.82;25.31;80.31;176.75;62.55;45.60;35.68;36.58;103.38;91.25;103.00;96.88;273.00;80.75;68.38
Turbidez;2004;UNT;39.02;62.50;289.00;16.50;325.00;10.50;80.50;.;29.82;43.50;374.00;162.50;8.00;15.00;26.00;292.00;.;21.00;314.50;282.50;59.85;323.00;367.00;48.00;8.65;20.00;15.00;25.00;37.00;62.00;62.00;9.50
Bacterias Coliformes Totales;1995;nmp/100;85138809.53;7801135890.30;193852380.95;88500000.00;1404300000.00;169000.00;52500000.00;180166666.67;.;681393809.52;.;687964500.00;424301428.57;262357142.86;519414285.71;77632742.86;.;519641971.38;169286028.57;120986114.76;26132285.71;28574515.71;554838.10;.;3893700.00;10910.00;733900.00;712814.29;561171.43;50758500.00;12612.86;73992.86
Bacterias Coliformes Totales;1999;nmp/100;84135665.24;6701166666.60;5168777777.89;79500000.00;214966666.68;289000.00;47500000.00;9900000.00;1508500000.00;44122222.22;1035000000.00;74500000.00;.;.;206000000.00;38000000.00;161225000.00;56000000.00;55045500000.00;60869333333.34;7537133333.33;46333333.33;50806687777.78;8733333.33;1010146666.67;22375000.00;11013333.33;45966666.67;53866666.67;1025066666.67;25002833.33;95618733.33
